"","X1","Label","Months.closed","F.Mortality","Selectivity","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","CatchTotal","RevenueTotal","Biomass","Profit"
"60",60,"11-0.576057-32",1,0.318057,32,19,221671.580027259,170448.06716728,131014.502472945,75204.7134282274,43144.4277166291,24736.9255800279,14173.5534780414,8114.92311725637,4641.87229431009,2652.19888947401,1513.41230652486,862.598309993412,491.313817407085,279.639902185393,158.784248174239,89.7112454861185,50.3380940379834,600.013382652015,173781.934177708,683789.256962354,890884515.329279,216889.100524025
"61",61,"12-0.576057-32",0,0.318057,32,0,176958.348523671,136969.251701554,89942.9181316662,50668.5416070175,28549.2727914244,16089.5841424226,9069.77057667427,5113.97875849846,2884.31718249883,1627.27126598835,918.379598282211,518.493810373965,292.845895219848,165.472418969579,93.5451845580588,52.9111236627982,29.9450341270776,39.1988840684049,130012.795403317,509345.62520545,586703772.311464,0
"62",62,"12-0.576057-32",0,0.318057,32,1,177968.601181278,136717.176350904,105821.790809874,50557.850047087,28481.3143923366,16047.8432624262,9044.1226423384,5098.21240295669,2874.62066593907,1621.30469669153,914.706108727054,516.230727007165,291.45076521595,164.611724469026,93.0137682762968,52.5827214833084,29.7418930976936,44.0682011193459,123918.999434651,485472.218684914,601952465.421556,-23873.4065205355
"63",63,"12-0.576057-32",0,0.318057,32,2,177769.702378871,137497.692737395,105627.038595831,59483.5295831503,28419.0935148657,16009.6431392604,9020.6596594207,5083.79543222564,2865.75823345602,1615.85418385082,911.352238049181,514.16582030926,290.178662510374,163.827507378916,92.5299629428783,52.2840068624799,29.5572948159092,49.5423886686716,127446.139564187,496716.297104684,619860390.162102,-12629.328100766
"64",64,"12-0.576057-32",0,0.318057,32,3,180320.26367312,137344.024470984,106230.061834615,59374.0573374361,33436.3108447732,15974.6681366886,8999.18697275549,5070.60664541894,2857.65430421407,1610.87251834744,908.288448074332,512.280574707589,289.017956972212,163.112445213167,92.0891463575401,52.0120548510593,29.3893842197174,55.6965842184155,131515.331969092,509744.837991044,636711682.507458,399.212785594573
"65",65,"12-0.576057-32",0,0.318057,32,4,184105.136101907,139314.575966117,106111.338464659,59713.0229738048,33374.775356509,18794.8981969117,8979.52715993028,5058.5366248428,2850.24074993401,1606.31721540733,905.48820206568,510.558386487085,287.958240805435,162.460000554196,91.6872024746724,51.764267262189,29.2365171647117,62.6152589118233,135395.721164894,526372.77598329,651049442.254637,17027.1507778404
"66",66,"12-0.576057-32",0,0.318057,32,5,187164.031535864,142238.75035873,107633.77715442,59646.287332356,33565.3114673071,18760.3084587437,10564.8078184288,5047.48563951323,2843.45606579178,1602.14997941596,902.927618889717,508.984339071888,286.990180889059,161.864323071574,91.320456543837,51.5383304238087,29.097233183028,70.3933769658057,138530.442322423,539740.307928698,663753694.35344,30394.6827232478
"67",67,"12-0.576057-32",0,0.318057,32,6,189420.499740526,144602.038386519,109892.980348003,60502.0659593085,33527.7986689318,18867.4107889593,10545.3645667333,5938.58839090036,2837.24419196368,1598.33623787182,900.585172183084,507.545008628395,286.105392460602,161.320166520893,90.985620033432,51.3321787204649,28.9702317355296,79.1376991290274,141221.213813797,550986.722380175,675778070.373493,41641.0971747251
"68",68,"12-0.576057-32",0,0.318057,32,7,191203.608541647,146345.374962842,111718.845410368,61771.9875791499,34008.8407386546,18846.3244547097,10605.5679008391,5927.6591368349,3338.14231954306,1594.84447896477,898.441428382992,506.228294963803,285.296329843535,160.822817739927,90.6797439748945,51.1439636343303,28.8543517182797,88.9682480566129,143801.945906647,561101.414200889,687323747.660101,51755.7889954394
"69",69,"12-0.576057-32",0,0.318057,32,8,192917.823755269,147722.996320916,113065.738937192,62798.3253269885,34722.6768934201,19116.7232068581,10593.7150529754,5961.5000572907,3331.99887212501,1876.40452781657,896.478674373112,505.023274270282,284.556191393591,160.368035225393,90.4001790507014,50.9720275194948,28.7485540601755,100.019955714882,146321.582287263,570850.809018702,698201674.967156,61505.1838132519
"70",70,"12-0.576057-32",0,0.318057,32,9,194631.440481225,149047.390821765,114130.082630089,63555.4281914843,35299.5920194885,19517.9779361965,10745.709004784,5954.83744818959,3351.02120559383,1872.95123210651,1054.74650718082,503.919989820854,283.878836724738,159.951995702286,90.1445410677292,50.814881167015,28.6519069812047,112.444515428035,148715.192530659,580302.536691638,708238387.98916,70956.9114861878
